categoryid,parentid,categoryname,categoryorder,categoryvisible,alternateurl,lastmodified,category_displaymode,subcategory_displaymode1,display_columns,display_rows,display_showlistprice,display_showyousave,display_showdescriptionshort,display_showavailability,display_featuredproductsonly,rootid,metatag_title,metatag_description,default_sortby,link_title_tag,category_graphic_placement,filtercategory,categorydescriptionshort,categorydescription,metatag_keywords,categorydescription_belowproducts,custom_where_clause,hidden,breadcrumb,photoseed,subcategory_displaymode1_responsive,subcategory_displaycolumns_responsive
281,258,Minnetonka,,,,5/9/2016 15:00,,,,,,,,,,1,,,Newest,Minnetonka,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Minnetonka',N,ALL MEN'S SHOES > Brands,,0,3
282,258,Pikolinos,,,,5/9/2016 15:02,,,,,,,,,,1,,,Newest,Pikolinos,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Pikolinos',N,ALL MEN'S SHOES > Brands,,0,3
283,258,Rieker,,,,5/9/2016 15:07,,,,,,,,,,1,,,Newest,Rieker,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Rieker',N,ALL MEN'S SHOES > Brands,,0,3
284,258,Rockport,,,,5/9/2016 15:08,,,,,,,,,,1,,,Newest,Rockport,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Rockport',N,ALL MEN'S SHOES > Brands,,0,3
285,258,Sanuk,,,,5/9/2016 15:09,,,,,,,,,,1,,,Newest,Sanuk,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Sanuk',N,ALL MEN'S SHOES > Brands,1430286863,0,3
286,258,Skechers,,,,5/9/2016 15:10,,,,,,,,,,1,,,Newest,Skechers,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Skechers',N,ALL MEN'S SHOES > Brands,,0,3
287,258,Sperry Topsider,,,,5/9/2016 15:11,,,,,,,,,,1,,,Newest,Sperry_Topsider,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Sperry Topsider',N,ALL MEN'S SHOES > Brands,,0,3
288,258,Stacy Adams,,,,5/9/2016 15:11,,,,,,,,,,1,,,Newest,Stacy_Adams,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Stacy Adams',N,ALL MEN'S SHOES > Brands,,0,3
289,258,UGG,,,,6/29/2016 15:04,,,,,,,,,,1,,,Newest,Ugg,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'UGG',N,ALL MEN'S SHOES > Brands,,0,3
290,258,Wolverine,,,,5/9/2016 15:14,,,,,,,,,,1,,,Newest,Wolverine,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Wolverine',N,ALL MEN'S SHOES > Brands,,0,3
291,258,Dingo,,,,5/9/2016 14:54,,,,,,,,,,1,,,Newest,Dingo,,N,,,,,ProductDescriptionShort = 'Mens' and ProductManufacturer = 'Dingo',N,ALL MEN'S SHOES > Brands,,0,3
292,259,Dingo,,,,6/14/2016 12:23,,,,,,,,,,7,,,Newest,Dingo,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Dingo',Y,ALL WOMEN'S SHOES > Brands,,0,3
293,259,Aerosoles,,,,5/9/2016 13:15,,,,,,,,,,7,,,Newest,Aerosoles,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Aerosoles',N,ALL WOMEN'S SHOES > Brands,,0,3
294,259,Alegria,,,,6/28/2016 15:48,,,,,,,,,,7,,,Newest,Alegria,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Alegria',N,ALL WOMEN'S SHOES > Brands,,0,3
295,259,Aravon,,,,6/11/2015 14:12,,,,,,,,,,7,,,,Aravon,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Aravon',Y,ALL WOMEN'S SHOES > Brands,,0,3
296,259,Bandolino,,,,6/11/2015 14:14,,,,,,,,,,7,,,,Bandolino,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Bandolino',Y,ALL WOMEN'S SHOES > Brands,,0,3
297,259,BCBG,,,,6/14/2016 12:15,,,,,,,,,,7,,,Newest,BCBG,,N,,,,,(ProductDescriptionShort = 'Womens' or ProductDescriptionShort = 'Women''s') and ProductManufacturer = 'BCBG',Y,ALL WOMEN'S SHOES > Brands,,0,3
298,259,Bernie Mev,,,,5/9/2016 13:17,,,,,,,,,,7,,,Newest,Bernie_Mev,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Bernie Mev',N,ALL WOMEN'S SHOES > Brands,,0,3
299,259,Birkenstock,,,,5/9/2016 13:17,,,,,,,,,,7,,,Newest,Birkenstock,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Birkenstock',N,ALL WOMEN'S SHOES > Brands,,0,3
300,259,Blossom,,,,5/9/2016 13:18,,,,,,,,,,7,,,Newest,Blossom,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Blossom',N,ALL WOMEN'S SHOES > Brands,,0,3
301,259,Bogs,,,,5/9/2016 13:18,,,,,,,,,,7,,,Newest,Bogs,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Bogs',N,ALL WOMEN'S SHOES > Brands,,0,3
302,259,Bussola,,,,5/9/2016 13:23,,,,,,,,,,7,,,Newest,Bussola,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Bussola',N,ALL WOMEN'S SHOES > Brands,,0,3
303,259,Clarks,,,,5/9/2016 13:24,,,,,,,,,,7,,,Newest,Clarks,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Clarks',N,ALL WOMEN'S SHOES > Brands,,0,3
304,259,Cobb Hill,,,,6/28/2016 15:57,,,,,,,,,,7,,,Newest,Cobb_Hill,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Cobb Hill',N,ALL WOMEN'S SHOES > Brands,,0,3
306,259,Coloriffics,,,,5/9/2016 13:25,,,,,,,,,,7,,,Newest,Coloriffics,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Coloriffics',N,ALL WOMEN'S SHOES > Brands,,0,3
307,259,Crocs,,,,6/14/2016 12:22,,,,,,,,,,7,,,Newest,Crocs,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Crocs',Y,ALL WOMEN'S SHOES > Brands,,0,3
308,259,Dan Post,,,,5/9/2016 13:27,,,,,,,,,,7,,,Newest,Dan_Post,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Dan Post',N,ALL WOMEN'S SHOES > Brands,,0,3
309,259,Dansko,,,,6/28/2016 15:59,,,,,,,,,,7,,,Newest,Dansko,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Dansko',N,ALL WOMEN'S SHOES > Brands,,0,3
310,259,Dyeables,,,,5/9/2016 13:29,,,,,,,,,,7,,,Newest,Dyeables,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Dyeables',N,ALL WOMEN'S SHOES > Brands,,0,3
311,259,Earth,,,,6/28/2016 16:02,,,,,,,,,,7,,,Newest,Earth,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Earth',N,ALL WOMEN'S SHOES > Brands,,0,3
312,259,Easy Spirit,,,,6/29/2016 11:53,,,,,,,,,,7,,,Newest,Easy_Spirit,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Easy Spirit',N,ALL WOMEN'S SHOES > Brands,,0,3
313,259,Ecco,,,,5/9/2016 13:31,,,,,,,,,,7,,,Newest,Ecco,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Ecco',N,ALL WOMEN'S SHOES > Brands,,0,3
314,259,Fit Flop,,,,5/9/2016 13:32,,,,,,,,,,7,,,Newest,Fit_Flop,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Fit Flop',N,ALL WOMEN'S SHOES > Brands,,0,3
315,259,Fly Flot,,,,6/17/2015 10:23,,,,,,,,,,7,,,,Fly_Flot,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Fly Flot',Y,ALL WOMEN'S SHOES > Brands,,0,3
316,259,Fly London,,,,6/14/2016 12:26,,,,,,,,,,7,,,Newest,Fly_London,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Fly London',Y,ALL WOMEN'S SHOES > Brands,,0,3
317,259,Grasshoppers,,,,5/9/2016 13:34,,,,,,,,,,7,,,Newest,Grasshoppers,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Grasshoppers',N,ALL WOMEN'S SHOES > Brands,,0,3
318,259,Gravity Defyer,,,,5/9/2016 13:34,,,,,,,,,,7,,,Newest,Gravity_Defyer,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Gravity Defyer',N,ALL WOMEN'S SHOES > Brands,,0,3
319,259,Guess,,,,5/9/2016 13:35,,,,,,,,,,7,,,Newest,Guess,,N,,,,,ProductDescriptionShort = 'Womens' and ProductManufacturer = 'Guess',N,ALL WOMEN'S SHOES > Brands,,0,3
